datetime,high_temp,low_temp,city_id
2023-07-24,21.2,10.6,13
2023-07-25,18.9,10.8,13
2023-07-26,18.2,11.3,13
2023-07-27,16.7,15.8,13
2023-07-28,22.7,14.3,13
2023-07-29,23.7,12.9,13
2023-07-30,22.8,14.7,13
2023-07-31,22.6,14.6,13
2023-08-01,24.5,15.7,13
2023-08-02,22.2,17.3,13
2023-08-03,18.6,15.2,13
2023-08-04,19.1,15.6,13
2023-08-05,15.0,12.3,13
2023-08-06,16.7,13.7,13
2023-08-07,19.7,16.1,13
2023-08-08,22.5,18.4,13
